measure_id,ballot_id,state,election_date,election_type,topic,measure_name,description_short,progressive_side,yes_pct,outcome,severity_note,same_ballot_catalog_ids,same_ballot_companions,source_url
ok_20041102_state_question_711,OK_2004-11-02,OK,2004-11-02,general,marriage,State Question 711,"A YES vote amends the Oklahoma Constitution to define marriage as between one man and one woman, prohibit giving the benefits of marriage to unmarried people, and make issuing a same-sex marriage license a misdemeanor.",no,75.6,pass,"constitutional (legislatively referred); bans marriage + extension of marriage benefits to unmarried couples (civil unions), with criminal penalty for license issuance",ok_20041102_state_question_713,,https://ballotpedia.org/History_of_same-sex_marriage_ballot_measures
ok_20041102_state_question_713,OK_2004-11-02,OK,2004-11-02,general,healthcare,State Question 713,"Replaces the sales tax on tobacco with new excise taxes (4 cents per cigarette, i.e. 80 cents per pack) dedicated to health-related purposes including health care, building a cancer center, trauma care, aid to hospitals and ambulance services, while adjusting income taxes.",yes,53.3,pass,tobacco tax funding healthcare including cancer center and trauma care,ok_20041102_state_question_711,State Question 705 — state lottery; State Question 706 — lottery trust fund; State Question 707 — local government investment financing; State Question 708 — rainy day fund limits; State Question 711 — marriage definition; State Question 712 — tribal gaming act; State Question 714 — senior homestead exemption; State Question 715 — disabled veterans property tax exemption,"https://ballotpedia.org/Oklahoma_State_Question_713,_Tobacco_Sales_Tax_Measure_(2004)"
or_20041102_measure_36,OR_2004-11-02,OR,2004-11-02,general,marriage,Measure 36,A YES vote amends the Oregon Constitution to provide that only a marriage between one man and one woman shall be valid or legally recognized as a marriage.,no,56.6,pass,"constitutional (citizen-initiated); bans marriage only (no civil-union clause); narrowest margin of the 2004 wave, in a state that had briefly issued same-sex marriage licenses in Multnomah County",or_20041102_measure_33,,https://ballotpedia.org/History_of_same-sex_marriage_ballot_measures
or_20041102_measure_33,OR_2004-11-02,OR,2004-11-02,general,cannabis,Measure 33,A YES vote authorizes non-profit dispensaries to sell marijuana to registered patients and raises patients' possession and cultivation limits under the medical program.,yes,42.8,fail,"medical program expansion (dispensary sales, higher possession limits)",or_20041102_measure_36,Measure 31 — deceased candidate election procedure; Measure 32 — motor vehicle tax uses; Measure 34 — state forest conservation and timber plan; Measure 35 — healthcare damages limit; Measure 36 — definition of marriage; Measure 37 — compensation for land-use restrictions; Measure 38 — abolish state workers' comp insurer SAIF,"https://ballotpedia.org/Oregon_Measure_33,_Medical_Marijuana_Sales_Initiative_(2004)"
ut_20041102_amendment_3,UT_2004-11-02,UT,2004-11-02,general,marriage,Amendment 3,A YES vote amends the Utah Constitution to define marriage as between a man and a woman and to deny any other domestic union recognition as a marriage or the same or substantially equivalent legal effect.,no,65.9,pass,constitutional (legislatively referred); bans marriage + civil unions/substantially equivalent domestic unions,,,https://ballotpedia.org/History_of_same-sex_marriage_ballot_measures
ks_20050405_amendment_1,KS_2005-04-05,KS,2005-04-05,special,marriage,Amendment 1,A YES vote amends the Kansas Constitution to define marriage as a civil contract between one man and one woman only and to bar recognition of any other legal relationship entitling parties to the rights or incidents of marriage.,no,69.9,pass,"Constitutional; bans same-sex marriage AND recognition of any other relationship with the rights or incidents of marriage (civil unions included). Only statewide question on the April 5, 2005 spring ballot.",,,https://ballotpedia.org/Kansas_Marriage_Amendment_(2005)
ca_20051108_proposition_73,CA_2005-11-08,CA,2005-11-08,special,abortion,Proposition 73,A YES vote requires physician notification of a parent or guardian and a waiting period before an unemancipated minor's abortion.,no,47.3,fail,parental notification only,ca_20051108_proposition_78; ca_20051108_proposition_79,"Proposition 74 (teacher probationary period extension); Proposition 75 (union dues consent for politics); Proposition 76 (state spending cap); Proposition 77 (redistricting by retired judges); Proposition 78 (prescription drug discounts, voluntary); Proposition 79 (prescription drug discounts, mandatory); Proposition 80 (electric service regulation)","https://ballotpedia.org/California_Proposition_73,_Parental_Notification_of_Abortion_Initiative_(2005)"
ca_20051108_proposition_78,CA_2005-11-08,CA,2005-11-08,special,healthcare,Proposition 78,"Establishes Cal Rx, a pharmaceutical-industry-backed prescription drug discount program with voluntary manufacturer participation for low/moderate-income residents (the industry's rival to Proposition 79).",no,41.5,fail,drug pricing (industry-backed voluntary discounts),ca_20051108_proposition_73; ca_20051108_proposition_79,Proposition 73 — parental notification for abortion; Proposition 74 — teacher tenure; Proposition 75 — union dues political consent; Proposition 76 — state spending limits; Proposition 77 — redistricting; Proposition 79 — enforced prescription drug discounts; Proposition 80 — electricity regulation,"https://ballotpedia.org/California_Proposition_78,_Prescription_Drug_Discounts_(2005)"
ca_20051108_proposition_79,CA_2005-11-08,CA,2005-11-08,special,healthcare,Proposition 79,"Creates a prescription drug discount program for low- and middle-income Californians, enforced by excluding non-participating drug makers from Medi-Cal purchasing.",yes,39.4,fail,drug pricing (enforced discounts via Medi-Cal leverage),ca_20051108_proposition_73; ca_20051108_proposition_78,Proposition 73 — parental notification for abortion; Proposition 74 — teacher tenure; Proposition 75 — union dues political consent; Proposition 76 — state spending limits; Proposition 77 — redistricting; Proposition 78 — industry-backed voluntary drug discounts; Proposition 80 — electricity regulation,"https://ballotpedia.org/California_Proposition_79,_Prescription_Drug_Discount_Program_Initiative_(2005)"
tx_20051108_proposition_2,TX_2005-11-08,TX,2005-11-08,odd-year general,marriage,Proposition 2,A YES vote amends the Texas Constitution to provide that marriage in Texas consists only of the union of one man and one woman.,no,76.3,pass,"Constitutional (legislatively referred); ballot title covered marriage only, but the amendment's full text also barred the state or political subdivisions from creating or recognizing any legal status identical or similar to marriage (civil unions included).",,Proposition 1 — creates a rail relocation and improvement fund; Proposition 3 — economic development loans/grants do not create state debt; Proposition 4 — lets judges deny bail for violating release conditions; Proposition 5 — legislature may define commercial loan interest rates (defeated); Proposition 6 — enlarges the State Commission on Judicial Conduct; Proposition 7 — authorizes line-of-credit advances under reverse mortgages; Proposition 8 — clears state ownership claims on certain land titles; Proposition 9 — staggered six-year terms for regional mobility authority boards (defeated),"https://ballotpedia.org/Texas_Definition_of_Marriage,_Proposition_2_(2005)"
al_20060606_amendment_774,AL_2006-06-06,AL,2006-06-06,primary,marriage,Amendment 774,"A YES vote adds the Sanctity of Marriage Amendment to the Alabama Constitution, barring marriage licenses for same-sex couples and recognition of any same-sex marriage or union replicating marriage from any jurisdiction.",no,81.2,pass,"Constitutional (legislatively referred); bans same-sex marriage, common-law same-sex marriage, AND any 'union replicating marriage' (civil unions included). Only statewide measure on the June 6, 2006 primary ballot.",,,"https://ballotpedia.org/Alabama_Sanctity_of_Marriage,_Constitutional_Amendment_774_(June_2006)"
az_20061107_proposition_107,AZ_2006-11-07,AZ,2006-11-07,general,marriage,Proposition 107,A YES vote amends the Arizona Constitution so that only a union between one man and one woman is valid or recognized as marriage and prohibits creating or recognizing any legal status similar to marriage for unmarried persons.,no,48.2,fail,Constitutional (citizen-initiated); banned same-sex marriage AND any similar legal status (civil unions/domestic-partner benefits) for all unmarried persons. First same-sex-marriage ban ever rejected by voters.,az_20061107_proposition_202,"Proposition 100 — deny bail to serious-felony defendants in the U.S. illegally; Proposition 101 — limits on local property tax levies; Proposition 102 — bar punitive damages for people in the U.S. illegally; Proposition 103 — English as the official language; Proposition 104 — municipal debt for public safety acquisitions; Proposition 105 — state trust lands (defeated); Proposition 106 — Conserving Arizona's Future, state trust land conservation (defeated); Proposition 200 — $1 million voter-reward lottery (defeated); Proposition 201 — Smoke-Free Arizona smoking ban; Proposition 202 — raise minimum wage to $6.75; Proposition 203 — First Things First, cigarette tax for early childhood programs; Proposition 204 — Humane Farms, bans inhumane confinement of farm animals; Proposition 205 — right to vote by mail (defeated); Proposition 206 — Non-Smoker Protection smoking ban alternative (defeated); Proposition 207 — bars eminent domain for economic development; Proposition 300 — deny public program funding to illegal immigrants; Proposition 301 — jail/prison for methamphetamine offenses; Proposition 302 — raise legislator salaries to $36,000 (defeated)","https://ballotpedia.org/Arizona_Protect_Marriage,_Proposition_107_(2006)"
az_20061107_proposition_202,AZ_2006-11-07,AZ,2006-11-07,general,labor,Proposition 202,"A YES vote created Arizona's first state minimum wage at $6.75 per hour with annual cost-of-living increases tied to the CPI, and allowed localities to set higher local minimums.",yes,65.4,pass,$6.75 + annual CPI indexing; established first-ever state minimum wage (previously deferred to $5.15 federal); initiated statute; localities may go higher,az_20061107_proposition_107,"Proposition 100 - deny bail to illegal immigrants charged with serious felonies; Proposition 101 - property tax levy limits; Proposition 102 - bar punitive damages awards to illegal immigrants; Proposition 103 - English as official state language; Proposition 104 - municipal debt limit for public safety projects; Proposition 105 - legislative designation of trust land for conservation; Proposition 106 - state trust land conservation reserve (initiative); Proposition 107 - define marriage as one man and one woman; Proposition 200 - $1 million lottery prize for voting; Proposition 201 - public smoking ban plus two-cent cigarette tax; Proposition 203 - tobacco tax for early childhood programs; Proposition 204 - ban cruel confinement of pregnant pigs and veal calves; Proposition 205 - conduct all elections by mail; Proposition 206 - competing smoking ban with exemptions; Proposition 207 - eminent domain and property rights protections; Proposition 300 - bar in-state tuition and aid for non-citizens; Proposition 301 - no mandatory probation for methamphetamine offenses; Proposition 302 - raise legislative salaries to $36,000","https://ballotpedia.org/Arizona_Proposition_202,_Minimum_Wage_Increase_Initiative_(2006)"
ca_20061107_proposition_85,CA_2006-11-07,CA,2006-11-07,general,abortion,Proposition 85,A YES vote requires notification of a parent or guardian and a waiting period before an unemancipated minor's abortion.,no,45.8,fail,parental notification only,ca_20061107_proposition_86,"Proposition 1A (transportation fund protection); Proposition 1B (transportation bonds); Proposition 1C (housing bonds); Proposition 1D (school facility bonds); Proposition 1E (flood control bonds); Proposition 83 (sex offender penalties, Jessica's Law); Proposition 84 (water quality bonds); Proposition 86 (cigarette tax increase); Proposition 87 (oil severance tax for energy); Proposition 88 (education parcel tax); Proposition 89 (public campaign financing); Proposition 90 (eminent domain limits)","https://ballotpedia.org/California_Proposition_85,_Parental_Notification_for_Abortion_Initiative_(2006)"
ca_20061107_proposition_86,CA_2006-11-07,CA,2006-11-07,general,healthcare,Proposition 86,"Raises the cigarette tax by $2.60 per pack (with increases on other tobacco products) to fund hospital emergency services, health insurance for children, nursing education, tobacco prevention, and research and treatment of cancer, heart disease, and other illnesses.",yes,48.3,fail,tobacco tax funding hospitals and children's health coverage,ca_20061107_proposition_85,Proposition 1A — transportation funding protection; Proposition 1B — transportation bonds; Proposition 1C — housing bonds; Proposition 1D — school facility bonds; Proposition 1E — flood control bonds; Proposition 83 — sex offender restrictions; Proposition 84 — water and parks bonds; Proposition 85 — abortion parental notification; Proposition 87 — oil tax for alternative energy; Proposition 88 — education parcel tax; Proposition 89 — public campaign financing; Proposition 90 — eminent domain limits,"https://ballotpedia.org/California_Proposition_86,_Cigarette_Tax_Increase_Initiative_(2006)"
co_20061107_amendment_43,CO_2006-11-07,CO,2006-11-07,general,marriage,Amendment 43,A YES vote amends the Colorado Constitution to establish that marriage in Colorado is the union of one man and one woman.,no,55.0,pass,Constitutional (citizen-initiated); defines marriage only — does not ban civil unions or domestic partnerships (Referendum I on the same ballot addressed those separately).,co_20061107_referendum_i; co_20061107_amendment_44; co_20061107_amendment_42,Amendment 38 — initiative and referendum process changes (defeated); Amendment 39 — require 65% of school district budgets on classroom expenses (defeated); Amendment 40 — term limits and term lengths for judges (defeated); Amendment 41 — ethics rules on gifts to public officials; Amendment 42 — raise state minimum wage with inflation indexing; Amendment 44 — allow possession of up to one ounce of marijuana (defeated); Referendum E — property tax reduction for disabled veterans; Referendum F — recall election deadlines and requirements (defeated); Referendum G — remove obsolete constitutional language; Referendum H — eliminate tax deduction for wages to unauthorized aliens; Referendum I — create same-sex domestic partnerships (defeated); Referendum J — school district 65% spending requirement (defeated); Referendum K — require state to sue federal government over immigration enforcement,"https://ballotpedia.org/Colorado_Amendment_43,_Definition_of_Marriage_Initiative_(2006)"
co_20061107_referendum_i,CO_2006-11-07,CO,2006-11-07,general,marriage,Referendum I,"A YES vote enacts the Colorado Domestic Partnership Benefits and Responsibilities Act, creating a domestic partnership status extending to same-sex couples the legal benefits, protections, and responsibilities granted to spouses, while specifying a domestic partnership is not a marriage.",yes,47.7,fail,"Statutory (legislatively referred state statute); would have CREATED same-sex domestic partnerships with spousal-level rights, explicitly not marriage. Defeated while Amendment 43's marriage ban passed on the same ballot.",co_20061107_amendment_43; co_20061107_amendment_44; co_20061107_amendment_42,Amendment 38 — initiative and referendum process changes (defeated); Amendment 39 — require 65% of school district budgets on classroom expenses (defeated); Amendment 40 — term limits and term lengths for judges (defeated); Amendment 41 — ethics rules on gifts to public officials; Amendment 42 — raise state minimum wage with inflation indexing; Amendment 43 — define marriage as one man and one woman (approved); Amendment 44 — allow possession of up to one ounce of marijuana (defeated); Referendum E — property tax reduction for disabled veterans; Referendum F — recall election deadlines and requirements (defeated); Referendum G — remove obsolete constitutional language; Referendum H — eliminate tax deduction for wages to unauthorized aliens; Referendum J — school district 65% spending requirement (defeated); Referendum K — require state to sue federal government over immigration enforcement,"https://ballotpedia.org/Colorado_Referendum_I,_Establishment_of_Domestic_Partnership_Status_Measure_(2006)"
co_20061107_amendment_44,CO_2006-11-07,CO,2006-11-07,general,cannabis,Amendment 44,A YES vote makes legal the possession of one ounce or less of marijuana for any person 21 years of age or older.,yes,41.1,fail,"possession legalization only (1 oz, adults 21+), no sales system",co_20061107_amendment_43; co_20061107_referendum_i; co_20061107_amendment_42,Amendment 38 — initiative process rules; Amendment 39 — school district spending mandate; Amendment 40 — judicial term limits; Amendment 41 — gifts to public officials; Amendment 42 — minimum wage increase; Amendment 43 — marriage definition; Referendum E — disabled veterans property tax; Referendum F — recall election procedures; Referendum G — obsolete constitutional language; Referendum H — tax deduction for unauthorized labor; Referendum I — same-sex domestic partnerships; Referendum J — school district budgets; Referendum K — sue federal government over immigration,"https://ballotpedia.org/Colorado_Amendment_44,_Possession_of_Marijuana_Initiative_(2006)"
co_20061107_amendment_42,CO_2006-11-07,CO,2006-11-07,general,labor,Amendment 42,"A YES vote wrote a $6.85 per hour minimum wage into the Colorado constitution, adjusted annually for inflation, with no more than $3.02 per hour in tip income usable to offset tipped workers' minimum wage.",yes,53.3,pass,$6.85 + annual inflation indexing + $3.02/hour tip-credit cap; initiated constitutional amendment (indexing also let the wage fall in deflation years),co_20061107_amendment_43; co_20061107_referendum_i; co_20061107_amendment_44,Amendment 38 - change initiative and referendum petition procedures; Amendment 39 - require school districts to spend 65% of budgets in classroom; Amendment 40 - term limits for appellate judges; Amendment 41 - ethics rules and gift limits for public officials; Amendment 43 - define marriage as one man and one woman; Amendment 44 - legalize possession of up to one ounce of marijuana; Referendum E - property tax reduction for disabled veterans; Referendum F - revise recall petition deadlines; Referendum G - remove obsolete constitutional language; Referendum H - end tax deduction for wages paid to unauthorized aliens; Referendum I - domestic partnerships for same-sex couples; Referendum J - school district 65% budget spending requirement; Referendum K - require state to sue federal government over immigration enforcement,"https://ballotpedia.org/Colorado_Amendment_42,_Minimum_Wage_Initiative_(2006)"
id_20061107_hjr_2,ID_2006-11-07,ID,2006-11-07,general,marriage,HJR 2,A YES vote amends the Idaho Constitution to define marriage as between a man and a woman and make it the only domestic legal union valid or recognized in the state.,no,63.4,pass,constitutional; bans marriage + all other domestic unions (civil unions/domestic partnerships),,SJR 107 — permanent tobacco-settlement endowment fund; HB 1 — advisory question affirming property tax cut; Initiative 1 — increase public education funding (defeated); Initiative 2 — restrict eminent domain/regulatory takings (defeated),"https://ballotpedia.org/Idaho_HJR_2,_Definition_of_Marriage_Amendment_(2006)"
mo_20061107_proposition_b,MO_2006-11-07,MO,2006-11-07,general,labor,Proposition B,"A YES vote raised Missouri's minimum wage to $6.50 per hour, or the federal minimum wage if higher, with annual adjustment based on the Consumer Price Index.",yes,76.0,pass,$6.50 (or federal if higher) + annual CPI indexing; initiated statute; highest yes share of the 2006 wave (75.97%),mo_20061107_amendment_3,Amendment 2 - protect stem cell research permitted under federal law; Amendment 3 - tobacco tax for Healthy Future trust fund; Amendment 6 - property tax exemption for veterans' organizations; Amendment 7 - pension forfeiture for officials convicted of felonies,"https://ballotpedia.org/Missouri_Proposition_B,_Increase_Minimum_Wage_Initiative_(2006)"
mo_20061107_amendment_3,MO_2006-11-07,MO,2006-11-07,general,healthcare,Amendment 3,"Raises the cigarette tax by 4 cents per cigarette (80 cents per pack) plus 20% on other tobacco products to create a Healthy Future Trust Fund for increasing healthcare access, treatment of low-income individuals and Medicaid recipients, and tobacco use prevention.",yes,48.5,fail,tobacco tax funding healthcare access and Medicaid,mo_20061107_proposition_b,Amendment 2 — stem cell research; Amendment 6 — veterans organization tax exemption; Amendment 7 — official pension forfeiture; Proposition B — minimum wage increase,"https://ballotpedia.org/Missouri_Amendment_3,_Healthy_Future_Trust_Fund_Act_(2006)"
mt_20061107_i_151,MT_2006-11-07,MT,2006-11-07,general,labor,I-151,"A YES vote raised Montana's minimum wage to the greater of $6.15 per hour or the federal minimum wage, with an annual cost-of-living adjustment.",yes,72.7,pass,$6.15 (or federal if higher) + annual cost-of-living indexing; initiated statute,,C-43 - rename state auditor as insurance commissioner; I-153 - bar state officials and staff from becoming lobbyists,"https://ballotpedia.org/Montana_I-151,_Minimum_Wage_Measure_(2006)"
nv_20061107_question_7,NV_2006-11-07,NV,2006-11-07,general,cannabis,Question 7,"A YES vote allows and regulates the sale, use, and possession of one ounce or less of marijuana by adults 21+, with licensed, taxed retailers and wholesalers.",yes,44.1,fail,"full recreational (1 oz, regulated and taxed retail sales)",nv_20061107_question_6,Question 1 — education funding priority; Question 2 — eminent domain property rights; Question 4 — smoking ban excluding food service; Question 5 — smoking ban including food service; Question 6 — minimum wage increase; Question 8 — sales and use tax amendment; Question 9 — university regents selection; Question 10 — legislative special sessions; Question 11 — legislator salaries and expenses,"https://ballotpedia.org/Nevada_Marijuana_Initiative,_Question_7_(2006)"
nv_20061107_question_6,NV_2006-11-07,NV,2006-11-07,general,labor,Question 6,"A YES vote gave second and final passage (first passage 2004) to a constitutional amendment raising Nevada's minimum wage to $6.15 per hour, or $5.15 for employers providing health benefits, with future adjustments tracking federal increases or inflation.",yes,68.7,pass,"Two-tier $5.15/$6.15 by health benefits + indexing to federal increases or inflation; initiated constitutional amendment, second of two required passages (first approved 2004)",nv_20061107_question_7,"Question 1 - fund K-12 education first in state budget; Question 2 - eminent domain limits and compensation rules; Question 4 - smoking ban exempting certain venues, legislative tobacco authority; Question 5 - smoking ban in most indoor workplaces; Question 7 - legalize, regulate, and tax marijuana; Question 8 - sales tax exemption for vehicle trade-ins and farm equipment; Question 9 - restructure Board of Regents; Question 10 - legislature-called special sessions with limits; Question 11 - legislator per-day pay and allowances","https://ballotpedia.org/Nevada_Question_6,_Minimum_Wage_Increase_Initiative_(2006)"
oh_20061107_issue_2,OH_2006-11-07,OH,2006-11-07,general,labor,Issue 2,"A YES vote amended the Ohio constitution to raise the minimum wage from $5.15 to $6.85 per hour starting January 1, 2007, with annual increases for inflation.",yes,56.7,pass,"$6.85 + annual inflation indexing; initiated constitutional amendment (Section 34a, Article II)",,Issue 3 - permit slot machines at racetracks and two other locations; Issue 4 - constitutional smoking ban with designated-area exceptions; Issue 5 - statutory smoking ban in public places and workplaces,"https://ballotpedia.org/Ohio_Issue_2,_Minimum_Wage_Increase_Initiative_(2006)"
or_20061107_measure_43,OR_2006-11-07,OR,2006-11-07,general,abortion,Measure 43,A YES vote requires 48-hour written notice to a parent before providing an abortion to an unemancipated minor aged 15-17.,no,45.2,fail,parental notification only,,Measure 39 (eminent domain limits); Measure 40 (elect appellate judges by district); Measure 41 (income tax deduction change); Measure 42 (ban insurance credit scoring); Measure 44 (prescription drug program expansion); Measure 45 (legislative term limits); Measure 46 (allow campaign finance limits); Measure 47 (campaign contribution limits); Measure 48 (state spending limit),"https://ballotpedia.org/Oregon_Measure_43,_Parental_Notification_of_Abortion_Initiative_(2006)"
sc_20061107_amendment_1,SC_2006-11-07,SC,2006-11-07,general,marriage,Amendment 1,A YES vote amends the South Carolina Constitution to define marriage as the union of one man and one woman and prohibit the state and its subdivisions from recognizing any other domestic union.,no,78.0,pass,constitutional; bans marriage + civil unions/any other domestic union,,Amendment 2a — rules for special legislative sessions; Amendment 2b — rules for legislative adjournment; Amendment 3a — allow retirement fund equity investing; Amendment 3b — eliminate Retirement Systems Investment Panel; Amendment 6 — limit property value assessment increases; Amendment 7 — eminent domain restrictions,"https://ballotpedia.org/South_Carolina_Amendment_1,_Definition_of_Marriage_and_Prohibition_of_Domestic_Unions_Amendment_(2006)"
sd_20061107_referred_law_6,SD_2006-11-07,SD,2006-11-07,general,abortion,Referred Law 6,"A YES vote upholds HB 1215, banning nearly all abortions in South Dakota with an exception only to save the mother's life.",no,44.4,fail,near-total ban (life-of-mother exception only),sd_20061107_amendment_c; sd_20061107_initiated_measure_4,Amendment C (define marriage as man-woman); Amendment D (property tax acquisition value); Amendment E (special grand juries to penalize judges); Amendment F (legislative expense/term limit changes); Initiated Measure 2 (tobacco tax increase); Initiated Measure 3 (school start date after Aug 31); Initiated Measure 4 (medical marijuana); Initiated Measure 5 (state aircraft use restrictions); Initiated Measure 7 (prohibit video lottery); Initiated Measure 8 (repeal wireless telecom tax),"https://ballotpedia.org/South_Dakota_Referendum_6,_Abortion_Ban_Measure_(2006)"
sd_20061107_amendment_c,SD_2006-11-07,SD,2006-11-07,general,marriage,Amendment C,A YES vote amends the South Dakota Constitution to recognize only marriage between a man and a woman and to prohibit civil unions and domestic partnerships.,no,51.8,pass,constitutional; bans marriage + civil unions + domestic partnerships; narrowest passage of the 2006 wave,sd_20061107_referred_law_6; sd_20061107_initiated_measure_4,Amendment D — property tax assessment on acquisition value (defeated); Amendment E — special grand jurors may penalize judges (defeated); Amendment F — legislative rules and term-limit changes (defeated); Initiative 2 — tobacco tax increase; Initiative 3 — school start date after Aug 31 (defeated); Initiative 4 — medical marijuana (defeated); Initiative 5 — state aircraft use restrictions; Initiative 7 — prohibit video lottery (defeated); Initiative 8 — repeal wireless telecom gross receipts tax (defeated); Referred Law 6 — veto referendum on near-total abortion ban (rejected),"https://ballotpedia.org/South_Dakota_Amendment_C,_Definition_of_Marriage_and_Prohibition_of_Civil_Unions_Amendment_(2006)"
sd_20061107_initiated_measure_4,SD_2006-11-07,SD,2006-11-07,general,cannabis,Initiated Measure 4,"A YES vote allows certified patients with debilitating medical conditions to grow up to six plants, possess up to one ounce, and use marijuana for medical purposes.",yes,47.7,fail,medical only,sd_20061107_referred_law_6; sd_20061107_amendment_c,Amendment C — marriage definition; Amendment D — property tax assessment; Amendment E — judicial accountability grand jury; Amendment F — legislative expenses and term limits; Initiative 2 — tobacco tax increase; Initiative 3 — school start date; Initiative 5 — state aircraft use restrictions; Initiative 7 — video lottery repeal; Initiative 8 — cell phone tax repeal; Referendum 6 — abortion ban,"https://ballotpedia.org/South_Dakota_Medical_Marijuana,_Initiative_4_(2006)"
tn_20061107_amendment_1,TN_2006-11-07,TN,2006-11-07,general,marriage,Amendment 1,A YES vote amends the Tennessee Constitution to provide that marriage is only between a man and a woman.,no,81.3,pass,constitutional; bans marriage only (no civil-union clause); highest 2006 yes share,,Amendment 2 — property tax relief for seniors 65+,"https://ballotpedia.org/Tennessee_Amendment_1,_Definition_of_Marriage_Amendment_(2006)"
va_20061107_question_1_marshall_newman_amendment,VA_2006-11-07,VA,2006-11-07,general,marriage,Question 1 (Marshall-Newman Amendment),"A YES vote amends the Virginia Constitution to define marriage as the union of one man and one woman and deny any other relationship the legal status, rights, benefits, obligations, qualities, or effects of marriage.",no,57.1,pass,constitutional; bans marriage + civil unions + any legal status approximating marriage (among the broadest bans); omitted from Ballotpedia's own master history table but verified on its measure page,,Question 2 — allow churches to incorporate; Question 3 — local property tax exemption for redevelopment areas,"https://ballotpedia.org/Virginia_Question_1,_Definition_of_Marriage_Amendment_(2006)"
wi_20061107_question_1,WI_2006-11-07,WI,2006-11-07,general,marriage,Question 1,A YES vote amends the Wisconsin Constitution to provide that only marriage between one man and one woman is valid and that no legal status identical or substantially similar to marriage is recognized for unmarried individuals.,no,59.4,pass,constitutional; bans marriage + substantially-similar statuses (civil unions),,Question 2 — advisory referendum on enacting the death penalty,"https://ballotpedia.org/Wisconsin_Question_1,_Definition_of_Marriage_Amendment_(2006)"
or_20071106_measure_50,OR_2007-11-06,OR,2007-11-06,odd-year general,healthcare,Measure 50,"Amends the constitution to raise the cigarette tax by 84.5 cents per pack (from $1.18) to fund the Healthy Kids Program providing health coverage for uninsured Oregon children, plus anti-smoking programs.",yes,40.7,fail,tobacco tax funding children's health coverage (Healthy Kids),,Measure 49 — land use and property rights,https://ballotpedia.org/Oregon_Ballot_Measure_50_(2007)
az_20081104_proposition_102,AZ_2008-11-04,AZ,2008-11-04,general,marriage,Proposition 102,A YES vote amends the Arizona Constitution to provide that only a union of one man and one woman shall be valid or recognized as a marriage.,no,56.2,pass,constitutional; bans marriage only — deliberately narrower than the failed 2006 Prop 107 (which had also banned civil unions/partner benefits),az_20081104_proposition_101,Proposition 100 — prohibit real estate transfer taxes; Proposition 101 — freedom of choice in health care (defeated); Proposition 105 — majority-of-registered-voters rule for tax initiatives (defeated); Proposition 200 — payday loan reform (defeated); Proposition 201 — homeowners' rights in construction disputes (defeated); Proposition 202 — employer sanctions for hiring unauthorized workers (defeated); Proposition 300 — legislative salary increase (defeated),"https://ballotpedia.org/Arizona_Proposition_102,_Definition_of_Marriage_Amendment_(2008)"
az_20081104_proposition_101,AZ_2008-11-04,AZ,2008-11-04,general,healthcare,Proposition 101,Amends the Arizona Constitution to bar any law restricting a person's choice of private health care plan or the right to pay directly for lawful medical services.,no,49.8,fail,"constitutional health-mandate block (pre-ACA), narrowly defeated",az_20081104_proposition_102,Proposition 100 — real estate transfer tax ban; Proposition 102 — marriage definition; Proposition 105 — initiative approval threshold; Proposition 200 — payday loan regulation; Proposition 201 — new-home warranties; Proposition 202 — employer immigration sanctions; Proposition 300 — legislative salaries,"https://ballotpedia.org/Arizona_Medical_Freedom_to_Choose,_Proposition_101_(2008)"
ca_20081104_proposition_4,CA_2008-11-04,CA,2008-11-04,general,abortion,Proposition 4,A YES vote requires physician notification of a parent or adult relative and a waiting period before an unemancipated minor's abortion.,no,48.0,fail,parental notification only,ca_20081104_proposition_8,"Proposition 1A (high-speed rail bonds); Proposition 2 (farm animal confinement standards); Proposition 3 (children's hospital bonds); Proposition 5 (drug offense sentencing/rehabilitation); Proposition 6 (police funding and gang crime laws); Proposition 7 (renewable portfolio standards); Proposition 8 (ban same-sex marriage); Proposition 9 (victims' rights, Marsy's Law); Proposition 10 (alternative fuel bonds); Proposition 11 (citizens redistricting commission); Proposition 12 (veterans' home loan bonds)","https://ballotpedia.org/California_Proposition_4,_Parental_Notification_for_Minor%27s_Abortion_(2008)"
ca_20081104_proposition_8,CA_2008-11-04,CA,2008-11-04,general,marriage,Proposition 8,"A YES vote adds to the California Constitution that only marriage between a man and a woman is valid or recognized, reversing the May 2008 state supreme court ruling that legalized same-sex marriage.",no,52.2,pass,"constitutional (initiated); bans marriage only, but stripped an existing right — enacted after ~18,000 same-sex couples had already married; second CA vote after statutory Prop 22 (2000)",ca_20081104_proposition_4,Proposition 1A — high-speed rail bond; Proposition 2 — farm animal confinement standards; Proposition 3 — children's hospital bond; Proposition 4 — parental notification for minor's abortion (defeated); Proposition 5 — nonviolent drug offense sentencing (defeated); Proposition 6 — police funding and gang crime penalties (defeated); Proposition 7 — renewable energy portfolio standards (defeated); Proposition 9 — Marsy's Law crime victims' rights; Proposition 10 — alternative fuel vehicles bond (defeated); Proposition 11 — citizens redistricting commission; Proposition 12 — veterans' farm and home bond,"https://ballotpedia.org/California_Proposition_8,_Same-Sex_Marriage_Ban_Initiative_(2008)"
